1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,9,9,9,13,14,14,18,16,16
18,20,23,21,87,57,53,37,170,112,87,58
463,288,219,131,925,584,428,258,1672,1068,825,496
4,11,19,36,91,164,13,13,13,18,17,18
20,20,21,16,17,17,20,22,21,22,22,21
22,23,22,28,27,26,25,26,26,34,33,32
36,36,35,32,35,33,74,69,70,67,70,70
59,60,59,115,119,118,110,116,114,87,89,88
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,10,10,10,15,15,15,19,20,19
18,22,24,24,86,61,57,43,166,111,91,65
457,294,238,156,916,599,458,296,1661,1105,900,588
5,11,19,36,90,162,14,13,14,20,20,19
23,24,24,18,19,18,24,24,23,27,27,27
25,25,24,32,31,31,31,32,32,36,36,35
40,41,40,40,41,39,80,75,77,77,79,79
71,72,71,127,129,128,124,132,129,109,110,111
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,11,10,9,15,16,16,20,20,19
19,22,24,26,86,62,57,45,166,113,92,68
456,298,242,158,914,604,470,306,1661,1125,921,592
5,11,20,37,90,161,15,14,15,21,20,20
25,26,26,19,20,20,26,25,26,29,30,30
26,27,26,34,32,31,34,36,36,38,38,38
44,45,45,43,45,45,86,81,83,82,86,84
79,80,80,133,136,135,134,138,138,120,119,120
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,10,11,10,16,16,16,21,22,22
19,23,25,28,87,60,56,47,166,112,90,68
458,296,232,158,914,607,454,307,1660,1139,915,580
5,12,21,36,90,162,16,15,16,22,23,22
28,29,29,21,22,21,28,28,27,33,33,32
29,29,28,36,37,35,39,39,39,42,42,42
50,50,50,51,52,51,96,89,90,92,96,95
90,92,92,145,151,146,151,153,153,138,135,134
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,11,11,10,17,17,17,24,23,24
18,23,27,32,86,61,54,46,166,111,87,65
462,295,221,153,911,607,438,294,1661,1150,893,537
5,12,22,36,91,163,17,16,17,24,24,23
32,34,32,25,24,25,31,32,31,38,37,37
34,35,33,42,42,41,46,46,46,49,48,48
57,58,58,60,60,60,114,108,109,111,115,112
109,110,112,167,178,168,183,179,181,168,163,161
,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12
0,0,0,11,11,10,18,18,19,25,24,24
18,22,26,34,87,58,52,47,166,111,82,56
457,288,210,147,913,596,419,278,1664,1150,862,453
5,12,21,38,93,164,18,18,19,26,25,23
35,36,35,28,27,27,35,34,34,40,40,40
36,39,38,45,47,47,50,51,50,56,55,52
63,68,68,70,70,70,135,126,127,131,133,128
131,128,131,190,206,192,218,209,206,193,185,191
