Substrate,Measurement,Time
6,1,0
5,1,0
4,1,0
3,1,0
2,1,0
1,1,0
6,2,40.09
5,2,0
4,2,0
3,2,0
2,2,0
1,2,0
6,3,110.19
5,3,41.35
4,3,0
3,3,0
2,3,0
1,3,0
6,4,181.6
5,4,112.76
4,4,44.73
3,4,0
2,4,0
1,4,0
6,5,246.6
5,5,177.76
4,5,103.93
3,5,44.16
2,5,0
1,5,0
6,6,246.6
5,6,177.76
4,6,109.93
3,6,88.32
2,6,43.97
1,6,0
6,7,309.71
5,7,240.87
4,7,173.04
3,7,151.43
2,7,87.94
1,7,54.89
6,8,381.94
5,8,313.1
4,8,245.27
3,8,223.66
2,8,160.17
1,8,109.78
6,9,497.97
5,9,429.13
4,9,361.3
3,9,339.69
2,9,276.2
1,9,225.81
6,10,562.46
5,10,493.62
4,10,425.79
3,10,404.18
2,10,340.69
1,10,290.3
6,11,622.17
5,11,553.33
4,11,485.5
3,11,463.89
2,11,400.4
1,11,350.01
6,12,887.94
5,12,819.1
4,12,751.27
3,12,729.66
2,12,666.17
1,12,615.78
6,13,1681.24
5,13,1612.4
4,13,1544.57
3,13,1522.96
2,13,1459.47
1,13,1409.08
6,14,1743.24
5,14,1674.4
4,14,1606.57
3,14,1584.96
2,14,1521.47
1,14,1471.08
6,15,3579.98
5,15,3511.14
4,15,3443.31
3,15,3421.7
2,15,3358.21
1,15,3307.82
6,16,5499.98
5,16,5431.14
4,16,5363.31
3,16,5341.7
2,16,5278.21
1,16,5227.82
6,17,7239.98
5,17,7171.14
4,17,7103.31
3,17,7081.7
2,17,7018.21
1,17,6967.82
6,18,12819.98
5,18,12751.14
4,18,12683.31
3,18,12661.7
2,18,12598.21
1,18,12547.82
6,19,20139.98
5,19,20071.14
4,19,20003.31
3,19,19981.7
2,19,19918.21
1,19,19867.82
